n,k,beta,rbar_minus_A,min_P,max_Q_hat,max_K0,max_K1
12,8,-6,-1.326976180291699,30.371308969077408,-2.380193731992565,-1.5231977440440827,-1.479913065236131
12,9,-4,-2.0094397799214967,28.08558492489678,-1.4398203419723616,-1.6099614743135755,-2.1915425013803347
13,1,-9,-6.374901601180798,16.45378636426813,-0.3474259314221055,-3.048367715061957,-2.865091274517787
13,2,-9,-1.9371450543789268,14.256531675121941,-1.3085850733528361,-3.7512238360462518,-3.1774237850194975
13,3,-9,-1.1395206639882074,14.387077766862454,-2.331043313296483,-5.143304991593226,-3.9427695077829803
13,4,-9,-0.806506008986009,18.068401895965508,-2.81258802830255,-4.819504683662081,-2.9567618629909207
13,5,-9,-0.6232440255023094,28.8362173193157,-3.1918007009686895,-3.5985454402465535,-1.7702635572964174
13,6,-9,-0.5067726303107671,29.675732869842086,-3.4813575782137343,-2.1270872080111696,-0.4720064985297149
13,7,-8,-1.0630377056967921,32.193352548531045,-3.329511294455437,-3.68993322480248,-2.8470226177832907
13,8,-8,-0.868959481959251,34.340785398888094,-3.3139141529582905,-0.9630803663006469,-0.04177741675935439
13,9,-7,-1.2275746034364012,36.05676395385297,-2.6728884552200585,-1.1629665961611486,-0.805948276688621
13,10,-5,-1.9986497344978533,33.88779649492456,-1.6406420566506654,-2.2880254648672285,-2.603060108733808
14,1,-10,-7.261676248831471,19.14774918643514,-0.3487488713965314,-3.2661961831000275,-3.0970236779723046
14,2,-10,-2.129487034342864,16.32176236096615,-1.3402640210244336,-3.947343978094626,-3.3610520515309896
14,3,-10,-1.2441146055363002,16.171753617129255,-2.430098537070702,-5.454886528711595,-4.291298824434524
14,4,-10,-0.8781815462753546,19.51345904436393,-2.9701737103105548,-5.745384725534889,-3.7182420655328863
14,5,-10,-0.6779507158608025,32.074241472428106,-3.413324308818195,-4.787618046859716,-2.566441120713524
14,6,-10,-0.5513098249077404,33.74741251754912,-3.7722836328222717,-3.4762458206766045,-1.3110554252607873
14,7,-9,-1.1678340341543183,35.520578027155736,-3.6590159875838824,-5.727666236230549,-4.615342255815075
14,8,-9,-0.9578747235356002,37.7549959877501,-3.7598611623825176,-3.301144344468079,-2.028863997099685
14,9,-8,-1.4050641966989388,39.17627107864504,-3.242415725434503,-4.6576575195506456,-3.953062606855342
14,10,-7,-1.7662692574015564,39.85589037903354,-2.6196301710070418,-4.852704546059266,-4.483788748393863
14,11,-6,-1.9008941234269363,39.72062445928439,-1.8339628281961937,-2.355261487018004,-2.452981622188512
